al	slategray
ar	rgb(101,67,33)
az	lightgray
ca	gold
co	lightgray
ct	gold
de	pink
fl	tan
ga	black
ia	gold
id	lightgray
il	crimson
in	pink
ks	pink
ky	darkblue
la	slategray
ma	gold
md	darkblue
me	lightgray
mi	gold
mn	lightgray
mo	tan
ms	slategray
mt	lightgray
nc	darkgray
nd	lightgray
ne	lightgray
nh	lightgray
nj	pink
nm	lightgray
nv	lightgray
ny	crimson
oh	crimson
ok	lightgray
or	lightgray
pa	tan
ri	lightgray
sc	darkgray
sd	lightgray
tn	rgb(101,67,33)
tx	rgb(101,67,33)
ut	lightgray
va	slategray
vt	lightgray
wa	lightgray
wi	lightgray
wv	pink
wy	lightgray
